id,Added,Rating,STDev,Source Image,image url,image name,Canva Edit,Small Size,Dominant Size,Bridge Size,Heading Size,Paragraph Size,Dominant Font,Font #2,Font #3,Canva Template
13,basic,4,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-white-collage-fashion-show-flyer-MAC4DkO_3zY.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-white-collage-fashion-show-flyer-MAC4DkO_3zY.webp,https://www.canva.com/design?create=true&media=MAC4DkO_3zY,14,36,12,10,7.95,Oswald,Montserret,,https://www.canva.com/templates/flyers/MAC4DkO_3zY-canva-black-and-white-collage-fashion-show
14,basic,4,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-yellow-tent-summer-camp-flyer-MAC5t7rVvJ4.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-yellow-tent-summer-camp-flyer-MAC5t7rVvJ4.webp,https://www.canva.com/design?create=true&media=MAC5t7rVvJ4,9.93,28.8,9.93,11.9,8.94,Norwester,PT Sans,,https://www.canva.com/templates/flyers/MAC5t7rVvJ4-canva-black-and-yellow-tent-summer-camp
15,basic,4,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-yellow-volleyball-icons-sports-flyer-MAC3X5T2nN8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-yellow-volleyball-icons-sports-flyer-MAC3X5T2nN8.webp,https://www.canva.com/design?create=true&media=MAC3X5T2nN8,7.95,34,10,11.5,8,Norwester,Open Sans,,https://www.canva.com/templates/flyers/MAC3X5T2nN8-canva-black-and-yellow-volleyball-icons-sports
16,basic,4,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-charcoal-photo-food-drive-flyer-MAC3ToeVKl4.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-charcoal-photo-food-drive-flyer-MAC3ToeVKl4.webp,https://www.canva.com/design?create=true&media=MAC3ToeVKl4,10,32,12,14,7.95,Oswald,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC3ToeVKl4-canva-charcoal-photo-food-drive
17,basic,4,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-modern-elegant-colorful-cupcakes-bake-sale-flyer-MAC4C0X6lvc.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-modern-elegant-colorful-cupcakes-bake-sale-flyer-MAC4C0X6lvc.webp,https://www.canva.com/design?create=true&media=MAC4C0X6lvc,9.93,33.7,9.93,9,7.95,Playfair Display,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4C0X6lvc-canva-modern-elegant-colorful-cupcakes-bake-sale
18,basic,4,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-and-black-football-party-sports-flyer-MAC3XxQFTlU.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-and-black-football-party-sports-flyer-MAC3XxQFTlU.webp,https://www.canva.com/design?create=true&media=MAC3XxQFTlU,9,45,12,14,7.95,Bebas Neue,Arvo,,https://www.canva.com/templates/flyers/MAC3XxQFTlU-canva-orange-and-black-football-party-sports
19,basic,4,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-red-saxophone-jazz-concert-flyer-MAC4_jMH4Zc.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-red-saxophone-jazz-concert-flyer-MAC4_jMH4Zc.webp,https://www.canva.com/design?create=true&media=MAC4_jMH4Zc,11.9,49.6,15.9,11.9,8.94,League Gothic,Bodoni FLF,,https://www.canva.com/templates/flyers/MAC4_jMH4Zc-canva-red-saxophone-jazz-concert
20,basic,3.666666667,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-illustrated-heart-health-fair-flyer-MAC7m1QGUWA.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-illustrated-heart-health-fair-flyer-MAC7m1QGUWA.webp,https://www.canva.com/design?create=true&media=MAC7m1QGUWA,11,35,11,12,10,Fredoka One,Nunito,,https://www.canva.com/templates/flyers/MAC7m1QGUWA-canva-blue-illustrated-heart-health-fair
21,basic,3.666666667,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-illustration-art-gallery-raffle-flyer-MAC4XK0cokg.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-illustration-art-gallery-raffle-flyer-MAC4XK0cokg.webp,https://www.canva.com/design?create=true&media=MAC4XK0cokg,10,35,11,12,7.95,Montserret,Montserret Light,,https://www.canva.com/templates/flyers/MAC4XK0cokg-canva-blue-illustration-art-gallery-raffle
22,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-orange-border-diagonal-line-food-drive-flyer-MAC3TTBdtfM.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-orange-border-diagonal-line-food-drive-flyer-MAC3TTBdtfM.webp,https://www.canva.com/design?create=true&media=MAC3TTBdtfM,9.93,42,9.93,15.9,9,League Gothic,Montserret,Montserret Light,https://www.canva.com/templates/flyers/MAC3TTBdtfM-canva-blue-orange-border-diagonal-line-food-drive
23,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-photo-collage-food-drive-flyer-MAC7mgTLvk0.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-photo-collage-food-drive-flyer-MAC7mgTLvk0.webp,https://www.canva.com/design?create=true&media=MAC7mgTLvk0,10,28,10,10,9,Sifonn,Montserret Light,,https://www.canva.com/templates/flyers/MAC7mgTLvk0-canva-blue-photo-collage-food-drive
24,basic,3.666666667,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-with-tent-and-trees-summer-camp-flyer-MADLhW3Znkw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-with-tent-and-trees-summer-camp-flyer-MADLhW3Znkw.webp,https://www.canva.com/design?create=true&media=MADLhW3Znkw,12,60.3,12,,,Kolletkif,Montserret Light,,https://www.canva.com/templates/flyers/MADLhW3Znkw-canva-blue-with-tent-and-trees-summer-camp
25,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-brown-and-grey-illustrated-icons-summer-camp-flyer-MAC3XzSjncw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-brown-and-grey-illustrated-icons-summer-camp-flyer-MAC3XzSjncw.webp,https://www.canva.com/design?create=true&media=MAC3XzSjncw,9,31.8,12,14,7.95,Lilita One,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC3XzSjncw-canva-brown-and-grey-illustrated-icons-summer-camp
26,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-coral-&-black-photo-birthday-flyer-MAC4Cw5ADUo.jpg?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-coral-&-black-photo-birthday-flyer-MAC4Cw5ADUo.jpg,https://www.canva.com/design?create=true&media=MAC4Cw5ADUo,17.8,33.7,9.93,9,8.5,Oswald,Mr Dafoe,Lato,https://www.canva.com/templates/flyers/MAC4Cw5ADUo-canva-coral-&-black-photo-birthday
27,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-cream-and-blue-cupcake-fundraiser-flyer-MAC5EBZuooM.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-cream-and-blue-cupcake-fundraiser-flyer-MAC5EBZuooM.webp,https://www.canva.com/design?create=true&media=MAC5EBZuooM,12,35.5,11.5,12,11,Oswald,Kollektif,,https://www.canva.com/templates/flyers/MAC5EBZuooM-canva-cream-and-blue-cupcake-fundraiser
28,basic,3.666666667,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-cream-and-purple-icons-food-drive-flyer-MAC5t38U8lM.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-cream-and-purple-icons-food-drive-flyer-MAC5t38U8lM.webp,https://www.canva.com/design?create=true&media=MAC5t38U8lM,8.94,27.8,7.95,9.93,9,League Spartan,Montserret,,https://www.canva.com/templates/flyers/MAC5t38U8lM-canva-cream-and-purple-icons-food-drive
29,basic,3.666666667,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-dark-blue-and-yellow-space-themed-science-flyer-MAC7mqPbQK8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-dark-blue-and-yellow-space-themed-science-flyer-MAC7mqPbQK8.webp,https://www.canva.com/design?create=true&media=MAC7mqPbQK8,10,35,10,10,9,Norwester,Aileron Regular,,https://www.canva.com/templates/flyers/MAC7mqPbQK8-canva-dark-blue-and-yellow-space-themed-science
30,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-gold-with-white-ornament-gospel-concert-church-flyer-MAC7WYDUvHw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-gold-with-white-ornament-gospel-concert-church-flyer-MAC7WYDUvHw.webp,https://www.canva.com/design?create=true&media=MAC7WYDUvHw,10,32,10,12,9,Vidaloka,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC7WYDUvHw-canva-gold-with-white-ornament-gospel-concert-church
31,basic,3.666666667,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-and-orange-tent-flyer-summer-camp-flyer-MAC3TSOmKhg.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-and-orange-tent-flyer-summer-camp-flyer-MAC3TSOmKhg.webp,https://www.canva.com/design/DADSXvsiKrY/LD0gMXWMDSQCRntuo8S-Yg/edit,9.93,31.8,9.93,15.9,9,Norwester,Roboto,,https://www.canva.com/templates/flyers/summer-camp-flyer-MAC3TSOmKhg-canva-green-and-orange-tent
32,basic,3.666666667,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-and-red-cookie-exchange-consumer-personal-flyer-MADI6f2rupo.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-and-red-cookie-exchange-consumer-personal-flyer-MADI6f2rupo.webp,https://www.canva.com/design?create=true&media=MADI6f2rupo,15,56,19,19,16,Lato Heavy,Montserret,,https://www.canva.com/templates/flyers/MADI6f2rupo-canva-green-and-red-cookie-exchange-consumer-personal
33,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-dog-with-shades-pet-fundraising-flyer-MAC4XeJseVQ.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-dog-with-shades-pet-fundraising-flyer-MAC4XeJseVQ.webp,https://www.canva.com/design?create=true&media=MAC4XeJseVQ,7.95,47.7,10.4,9.93,7.95,League Gothic,Lato,,https://www.canva.com/templates/flyers/MAC4XeJseVQ-canva-green-dog-with-shades-pet-fundraising
34,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-illustrated-bake-sale-flyer-MAC4C3eiDho.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-illustrated-bake-sale-flyer-MAC4C3eiDho.webp,https://www.canva.com/design?create=true&media=MAC4C3eiDho,9.93,31.8,9.93,9.93,9,Norwester,Cooper Hewitt,,https://www.canva.com/templates/flyers/MAC4C3eiDho-canva-green-illustrated-bake-sale
35,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-monochromatic-urban-photography-background-workshop-flyer-MAC4XMMDHbk.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-monochromatic-urban-photography-background-workshop-flyer-MAC4XMMDHbk.webp,https://www.canva.com/design?create=true&media=MAC4XMMDHbk,10,32,10,10,7.95,Gidole,Montserret Light,,https://www.canva.com/templates/flyers/MAC4XMMDHbk-canva-monochromatic-urban-photography-background-workshop
36,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-and-black-vector-job-fair-flyer-MAC7m4cpzFQ.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-and-black-vector-job-fair-flyer-MAC7m4cpzFQ.webp,https://www.canva.com/design?create=true&media=MAC7m4cpzFQ,8,34,10,11,8.5,League Spartan,Lato,,https://www.canva.com/templates/flyers/MAC7m4cpzFQ-canva-orange-and-black-vector-job-fair
37,basic,3.666666667,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-bordered-photo-food-drive-flyer-MAC3TTAYPR8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-bordered-photo-food-drive-flyer-MAC3TTAYPR8.webp,https://www.canva.com/design?create=true&media=MAC3TTAYPR8,9.93,23.8,9.93,12,9.93,League Spartan,Montserret Light,,https://www.canva.com/templates/flyers/MAC3TTAYPR8-canva-orange-bordered-photo-food-drive
38,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-with-monkey-llustration-birthday-flyer-MAC5t3-JpG8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-with-monkey-llustration-birthday-flyer-MAC5t3-JpG8.webp,https://www.canva.com/design?create=true&media=MAC5t3-JpG8,9.93,31.8,9.93,13,8.94,Lilita One,Aleo,,https://www.canva.com/templates/flyers/MAC5t3-JpG8-canva-orange-with-monkey-llustration-birthday
39,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-red-and-cream-illustration-sale-retail-flyer-MADI6Zevgis.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-red-and-cream-illustration-sale-retail-flyer-MADI6Zevgis.webp,https://www.canva.com/design?create=true&media=MADI6Zevgis,13.2,36,18,13.9,13.9,Abril Fatface,Montserret,,https://www.canva.com/templates/flyers/MADI6Zevgis-canva-red-and-cream-illustration-sale-retail
40,basic,3.666666667,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-white-and-charcoal-all-white-party-flyer-MAC7mt5CsZA.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-white-and-charcoal-all-white-party-flyer-MAC7mt5CsZA.webp,https://www.canva.com/design?create=true&media=MAC7mt5CsZA,11,40,10,14,10,Norwester,Aileron Regular,,https://www.canva.com/templates/flyers/MAC7mt5CsZA-canva-white-and-charcoal-all-white-party
41,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-white-with-donuts-bake-sale-flyer-MAC4CsQClwE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-white-with-donuts-bake-sale-flyer-MAC4CsQClwE.webp,https://www.canva.com/design?create=true&media=MAC4CsQClwE,9.46,31.8,9.46,7.45,7.45,Oswald,Kollektif,,https://www.canva.com/templates/flyers/MAC4CsQClwE-canva-white-with-donuts-bake-sale
42,basic,3.666666667,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-yellow-green-scientist-science-flyer-MAC6lHuacDE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-yellow-green-scientist-science-flyer-MAC6lHuacDE.webp,https://www.canva.com/design?create=true&media=MAC6lHuacDE,8.5,34,9.5,7,9,Norwester,Montserret Light,,https://www.canva.com/templates/flyers/MAC6lHuacDE-canva-yellow-green-scientist-science
43,basic,3.666666667,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-yellow-music-fundraiser-flyer-MAC5EBEsPLU.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-yellow-music-fundraiser-flyer-MAC5EBEsPLU.webp,https://www.canva.com/design?create=true&media=MAC5EBEsPLU,12,32,11,10,8,Sensei,Open Sans,,https://www.canva.com/templates/flyers/MAC5EBEsPLU-canva-yellow-music-fundraiser
44,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-orange-basketball-fundraiser-flyer-MAC5Lp6K9A8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-orange-basketball-fundraiser-flyer-MAC5Lp6K9A8.webp,https://www.canva.com/design?create=true&media=MAC5Lp6K9A8,12,36,12,14,10,Open Sans Extra Bold,Open Sans,,https://www.canva.com/templates/flyers/MAC5Lp6K9A8-canva-black-and-orange-basketball-fundraiser
45,basic,3.333333333,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-orange-leaves-fall-festival-flyer-MAC3X3Fhbtc.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-orange-leaves-fall-festival-flyer-MAC3X3Fhbtc.webp,https://www.canva.com/design?create=true&media=MAC3X3Fhbtc,9,35,10,11,8,Playlist Script,Raleway,,https://www.canva.com/templates/flyers/MAC3X3Fhbtc-canva-black-and-orange-leaves-fall-festival
46,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-white-grunge-fashion-show-flyer-MAC5uhUj7q0.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-white-grunge-fashion-show-flyer-MAC5uhUj7q0.webp,https://www.canva.com/design?create=true&media=MAC5uhUj7q0,9,27,11,12,8,Special Elite,Open Sans,,https://www.canva.com/templates/flyers/MAC5uhUj7q0-canva-black-and-white-grunge-fashion-show
47,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-yellow-basketball-game-sports-flyer-MAC3TYyZW7g.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-yellow-basketball-game-sports-flyer-MAC3TYyZW7g.webp,https://www.canva.com/design?create=true&media=MAC3TYyZW7g,10,32,10,11,9,League Spartan,Open Sans,,https://www.canva.com/templates/flyers/MAC3TYyZW7g-canva-black-and-yellow-basketball-game-sports
48,basic,3.333333333,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-and-green-leaves-festival-flyer-MAC6k18asQo.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-and-green-leaves-festival-flyer-MAC6k18asQo.webp,https://www.canva.com/design?create=true&media=MAC6k18asQo,12,28,12,12,10,IM Fell,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC6k18asQo-canva-blue-and-green-leaves-festival
49,basic,3.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-christmas-birds-festive-holidays-flyer-MAC4XH26kEo.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-christmas-birds-festive-holidays-flyer-MAC4XH26kEo.webp,https://www.canva.com/design?create=true&media=MAC4XH26kEo,10,34,10,12,8,Aleo Light,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4XH26kEo-canva-blue-christmas-birds-festive-holidays
50,basic,3.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-creative-abstract-doodle-birthday-flyer-MAC3ZHUxp3w.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-creative-abstract-doodle-birthday-flyer-MAC3ZHUxp3w.webp,https://www.canva.com/design?create=true&media=MAC3ZHUxp3w,7.95,27.8,7.95,11.9,10.9,Open Sans,Open Sans,,https://www.canva.com/templates/flyers/MAC3ZHUxp3w-canva-blue-creative-abstract-doodle-birthday
51,basic,3.333333333,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-orange-leaves-fall-festival-flyer-MAC3Ta-ko3M.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-orange-leaves-fall-festival-flyer-MAC3Ta-ko3M.webp,https://www.canva.com/design?create=true&media=MAC3Ta-ko3M,11,34,9.93,9.93,8.5,Abril Fatface,Roboto Condensed,,https://www.canva.com/templates/flyers/MAC3Ta-ko3M-canva-blue-orange-leaves-fall-festival
52,basic,3.333333333,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-waves-dance-party-flyer-MAC7mvzQbNU.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-waves-dance-party-flyer-MAC7mvzQbNU.webp,https://www.canva.com/design?create=true&media=MAC7mvzQbNU,11,42,11,16,10,Norwester,Monserrat Light,,https://www.canva.com/templates/flyers/MAC7mvzQbNU-canva-blue-waves-dance-party
